block,plot,box,year,experiment,treatment,species,inhabited.by.GT,successful,eggs,hatched,fledged
sodersjon,plot_89,east,2017,before,NF,talgoxe,1,0,10,10,0
sodersjon,plot_89,west,2017,before,NF,blames,0,NA,NA,NA,NA
kilsjon,plot_85,west,2019,after,URT,empty,0,NA,NA,NA,NA
sodersjon,plot_89,west,2018,after,NF,blames,0,NA,NA,NA,NA
sodersjon,plot_90,east,2017,before,NF,talgoxe,1,1,9,9,9
sodersjon,plot_90,west,2017,before,NF,blames,0,NA,NA,NA,NA
sodersjon,plot_90,east,2018,after,NF,talgoxe,1,1,9,8,5
sodersjon,plot_90,west,2018,after,NF,notvacka,0,NA,NA,NA,NA
sodersjon,plot_91,east,2017,before,NF,talgoxe,1,0,7,3,0
sodersjon,plot_91,west,2017,before,NF,talgoxe,1,1,9,5,5
sodersjon,plot_91,east,2018,after,NF,empty,1,0,0,0,0
sodersjon,plot_91,west,2018,after,NF,talgoxe,1,0,7,7,0
kilsjon,plot_87,west,2019,after,CR,empty,0,NA,NA,NA,NA
sodersjon,plot_94,west,2017,before,NF,talgoxe,1,1,11,9,8
sodersjon,plot_94,east,2018,after,NF,sv_flug,0,NA,NA,NA,NA
sodersjon,plot_94,west,2018,after,NF,talgoxe,1,1,7,7,7
sodersjon,plot_95,east,2017,before,NF,blames,0,NA,NA,NA,NA
sodersjon,plot_95,west,2017,before,NF,talgoxe,1,0,10,9,0
sodersjon,plot_95,east,2018,after,NF,talgoxe,1,0,8,8,0
sodersjon,plot_95,west,2018,after,NF,talgoxe,1,1,8,6,6
sodersjon,plot_98,east,2017,before,NF,talgoxe,1,1,9,8,8
sodersjon,plot_98,west,2017,before,NF,talgoxe,1,NA,9,7,NA
kilsjon,plot_88,west,2019,after,CT,unknown,0,NA,NA,NA,NA
sodersjon,plot_98,west,2018,after,NF,talgoxe,1,1,10,10,9
sodersjon,plot_99,east,2017,before,NF,talgoxe,1,1,9,8,8
sodersjon,plot_99,west,2017,before,NF,empty,0,NA,NA,NA,NA
sodersjon,plot_99,east,2018,after,NF,talgoxe,1,1,NA,7,7
sodersjon,plot_99,west,2018,after,NF,empty,0,NA,NA,NA,NA
